Fiscal Year Ended,Tax Category,Tax or Fee,Amount Collected,Tax or Fee Sort Order
2002,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
2002,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2002,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2002,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2002,Other Taxes and Fees,Total State Taxes and Fees Collected by the Department of Taxation and Finance,43376355691,55
2001,Personal Income,Personal Income Tax,26892084122,1
2001,Corporation and Business,Business Corporations Article 9-A,2313084521,2
2001,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",27827858,3
2001,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",32572233,4
2001,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",68764262,5
2001,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",233194,6
2001,Corporation and Business,"Light, Water, Power, Article 9, Section 186",-49787633,7
2001,Corporation and Business,"Utilities, Article 9, Section 186-a",363091760,8
2001,Corporation and Business,"Telecommunications, Article 9, Section 186-e",424527903,9
2001,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2001,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",14483772,11
2001,Corporation and Business,"Unrelated Business Corporations, Article 13",22416812,12
2001,Corporation and Business,"Clearing House Banks, Article 32",0,13
2001,Corporation and Business,"Commercial Banks, Article 32",495895982,14
2001,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",9580407,15
2001,Corporation and Business,"Insurance Corporations, Article 33",547370448,16
2001,Corporation and Business,"Insurance, Direct Writings, Article 33-A",2811817,17
2001,Corporation and Business,"Lubricating Oils, Article 24",9593,18
2001,Corporation and Business,"Oil Users, Article 9, Section 182-a",-1133,19
2001,Corporation and Business,"Petroleum Businesses, Article 13-A",971088286,20
2001,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,8408828635,21
2001,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",61553821,22
2001,"Sales, Excise and Use","Motor Fuel, Article 12-A",448770548,23
2001,"Sales, Excise and Use",Petroleum Testing Fees,2905967,24
2001,"Sales, Excise and Use",Cigarette Tax,999805762,25
2001,"Sales, Excise and Use",Tobacco Products Tax,20495983,26
2001,"Sales, Excise and Use",Cigarette Retail License Fees,3337309,27
2001,"Sales, Excise and Use",Cigarette Vending Machine Stickers,131271,28
2001,"Sales, Excise and Use",Alcoholic Beverage Tax,179346278,29
2001,"Sales, Excise and Use",Non-Refillable Beverage Containers,7226,30
2001,"Sales, Excise and Use",Highway Use Truck Mileage Tax,122261219,31
2000,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,5409,34
2000,Property Transfer,Estate Tax,975172135,36
2001,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,4183185,32
2001,"Sales, Excise and Use",Highway Use Fuel Use Tax,28630662,33
2001,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,9846,34
2001,"Sales, Excise and Use",Passenger Car Rental Tax,40300160,35
2001,Property Transfer,Estate Tax,717088317,36
2001,Property Transfer,Gift Tax,41434831,37
2001,Property Transfer,Real Estate Transfer Tax,404744599,38
2001,Property Transfer,Real Property Transfer Gains Tax,6183889,39
2001,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,14152393,40
2001,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2001,Other Taxes and Fees,Flat Racing Uncashed Tickets,1375088,42
2001,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,750388,43
2001,Other Taxes and Fees,Harness Racing Uncashed Tickets,531798,44
2001,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,14443605,45
2001,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,6177734,46
2001,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),288672,47
2001,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,412304,48
2001,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),6368461,49
2001,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),0,50
2001,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
2001,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2001,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2001,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2001,Other Taxes and Fees,Total State Taxes and Fees Collected by the Department of Taxation and Finance,43670574155,55
2000,Personal Income,Personal Income Tax,21533217882,1
2000,Corporation and Business,Business Corporations Article 9-A,1931632629,2
2000,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",24640073,3
2000,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",29724235,4
2000,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",90260310,5
2000,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",95121,6
2000,Corporation and Business,"Light, Water, Power, Article 9, Section 186",189435929,7
2000,Corporation and Business,"Utilities, Article 9, Section 186-a",540785924,8
2000,Corporation and Business,"Telecommunications, Article 9, Section 186-e",585583365,9
2000,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2000,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",25167213,11
2000,Corporation and Business,"Unrelated Business Corporations, Article 13",6983262,12
2000,Corporation and Business,"Clearing House Banks, Article 32",0,13
2000,Corporation and Business,"Commercial Banks, Article 32",515527816,14
2000,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",9981627,15
2000,Corporation and Business,"Insurance Corporations, Article 33",586941265,16
2000,Corporation and Business,"Insurance, Direct Writings, Article 33-A",2919605,17
2000,Corporation and Business,"Lubricating Oils, Article 24",10521,18
2000,Corporation and Business,"Oil Users, Article 9, Section 182-a",59368,19
2000,Corporation and Business,"Petroleum Businesses, Article 13-A",1004860831,20
2000,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,8214883064,21
2000,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",68057063,22
2000,"Sales, Excise and Use","Motor Fuel, Article 12-A",450716141,23
2000,"Sales, Excise and Use",Petroleum Testing Fees,2897261,24
2000,"Sales, Excise and Use",Cigarette Tax,648110283,25
2000,"Sales, Excise and Use",Tobacco Products Tax,20140644,26
2000,"Sales, Excise and Use",Cigarette Retail License Fees,3269308,27
2000,"Sales, Excise and Use",Cigarette Vending Machine Stickers,132780,28
2000,"Sales, Excise and Use",Alcoholic Beverage Tax,177044094,29
2000,"Sales, Excise and Use",Non-Refillable Beverage Containers,6164,30
2000,"Sales, Excise and Use",Highway Use Truck Mileage Tax,119131766,31
2000,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,7415727,32
2000,"Sales, Excise and Use",Highway Use Fuel Use Tax,23677480,33
2000,"Sales, Excise and Use",Passenger Car Rental Tax,37464534,35
2000,Property Transfer,Gift Tax,79497183,37
2000,Property Transfer,Real Estate Transfer Tax,340230022,38
2000,Property Transfer,Real Property Transfer Gains Tax,14824249,39
2000,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,17218608,40
2000,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2000,Other Taxes and Fees,Flat Racing Uncashed Tickets,1236372,42
2000,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,794324,43
2000,Other Taxes and Fees,Harness Racing Uncashed Tickets,592794,44
2000,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,18356285,45
2000,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,6000324,46
2000,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),299123,47
2000,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,1238290,48
2000,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),10830304,49
2000,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),0,50
2000,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
2000,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
2000,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
2000,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2000,Other Taxes and Fees,Total State Taxes and Fees Collected by the Department of Taxation and Finance,38317068703,55
1999,Personal Income,Personal Income Tax,20662375214,1
1999,Corporation and Business,Business Corporations Article 9-A,2040230006,2
1999,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",25147172,3
1999,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",35734411,4
1999,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",84601555,5
1999,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",109527,6
1999,Corporation and Business,"Light, Water, Power, Article 9, Section 186",190153009,7
1999,Corporation and Business,"Utilities, Article 9, Section 186-a",615255351,8
1999,Corporation and Business,"Telecommunications, Article 9, Section 186-e",567584601,9
1999,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
1999,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",27358779,11
1999,Corporation and Business,"Unrelated Business Corporations, Article 13",9612997,12
1999,Corporation and Business,"Clearing House Banks, Article 32",0,13
1999,Corporation and Business,"Commercial Banks, Article 32",527485000,14
1999,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",16573278,15
1999,Corporation and Business,"Insurance Corporations, Article 33",635635896,16
1999,Corporation and Business,"Insurance, Direct Writings, Article 33-A",11129218,17
1999,Corporation and Business,"Lubricating Oils, Article 24",7068,18
1999,Corporation and Business,"Oil Users, Article 9, Section 182-a",1217548,19
1999,Corporation and Business,"Petroleum Businesses, Article 13-A",1032950349,20
1999,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,7646928787,21
1999,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",59742120,22
1999,"Sales, Excise and Use","Motor Fuel, Article 12-A",442577430,23
1999,"Sales, Excise and Use",Petroleum Testing Fees,2911946,24
1999,"Sales, Excise and Use",Cigarette Tax,644448276,25
1999,"Sales, Excise and Use",Tobacco Products Tax,18837618,26
1999,"Sales, Excise and Use",Cigarette Retail License Fees,3276883,27
1999,"Sales, Excise and Use",Cigarette Vending Machine Stickers,137661,28
1999,"Sales, Excise and Use",Alcoholic Beverage Tax,182778004,29
1999,"Sales, Excise and Use",Non-Refillable Beverage Containers,18958062,30
1999,"Sales, Excise and Use",Highway Use Truck Mileage Tax,140370698,31
1999,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,3830729,32
1999,"Sales, Excise and Use",Highway Use Fuel Use Tax,24465094,33
1999,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,71794,34
1999,"Sales, Excise and Use",Passenger Car Rental Tax,35108846,35
1999,Property Transfer,Estate Tax,946445440,36
1999,Property Transfer,Gift Tax,125019036,37
1999,Property Transfer,Real Estate Transfer Tax,312369375,38
1999,Property Transfer,Real Property Transfer Gains Tax,28939597,39
1999,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,18643214,40
1999,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
1999,Other Taxes and Fees,Flat Racing Uncashed Tickets,1187152,42
1999,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,923351,43
1999,Other Taxes and Fees,Harness Racing Uncashed Tickets,570196,44
1999,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,17355005,45
1999,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,5645258,46
1999,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),294196,47
1999,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,400212,48
1999,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),7167115,49
1999,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),0,50
1999,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
1999,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
1999,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
1999,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
1999,Other Taxes and Fees,Total State Taxes and Fees Collected by the Department of Taxation and Finance,37172564071,55
1998,Personal Income,Personal Income Tax,17758697181,1
1998,Corporation and Business,Business Corporations Article 9-A,2074352141,2
1998,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",23729286,3
1998,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",36646614,4
1998,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",106830534,5
1998,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",163090,6
1998,Corporation and Business,"Light, Water, Power, Article 9, Section 186",196339730,7
1998,Corporation and Business,"Utilities, Article 9, Section 186-a",682994256,8
1998,Corporation and Business,"Telecommunications, Article 9, Section 186-e",504278439,9
1998,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
1998,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",24345266,11
1998,Corporation and Business,"Unrelated Business Corporations, Article 13",6810791,12
1998,Corporation and Business,"Clearing House Banks, Article 32",0,13
1998,Corporation and Business,"Commercial Banks, Article 32",700344217,14
1998,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",6979370,15
1998,Corporation and Business,"Insurance Corporations, Article 33",611761032,16
1998,Corporation and Business,"Insurance, Direct Writings, Article 33-A",3277623,17
1998,Corporation and Business,"Lubricating Oils, Article 24",58224,18
1998,Corporation and Business,"Oil Users, Article 9, Section 182-a",241375,19
1998,Corporation and Business,"Petroleum Businesses, Article 13-A",978323504,20
1998,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,7308285190,21
1998,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",53920635,22
1998,"Sales, Excise and Use","Motor Fuel, Article 12-A",437792075,23
1998,"Sales, Excise and Use",Petroleum Testing Fees,2864055,24
1998,"Sales, Excise and Use",Cigarette Tax,652201824,25
1998,"Sales, Excise and Use",Tobacco Products Tax,19898873,26
1998,"Sales, Excise and Use",Cigarette Retail License Fees,3095290,27
1998,"Sales, Excise and Use",Cigarette Vending Machine Stickers,146119,28
1998,"Sales, Excise and Use",Alcoholic Beverage Tax,177016901,29
1998,"Sales, Excise and Use",Non-Refillable Beverage Containers,26936549,30
1998,"Sales, Excise and Use",Highway Use Truck Mileage Tax,136002761,31
1998,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,3787673,32
1998,"Sales, Excise and Use",Highway Use Fuel Use Tax,25019953,33
1998,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,54469,34
1998,"Sales, Excise and Use",Passenger Car Rental Tax,32427957,35
1998,Property Transfer,Estate Tax,919361137,36
1998,Property Transfer,Gift Tax,102846765,37
1998,Property Transfer,Real Property Transfer Gains Tax,32630635,39
1998,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,19329143,40
1998,Other Taxes and Fees,New York Racing Association Franchise Fee,176000,41
1998,Other Taxes and Fees,Flat Racing Uncashed Tickets,1322408,42
1998,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,1013436,43
1998,Other Taxes and Fees,Harness Racing Uncashed Tickets,540278,44
1998,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,18022091,45
1998,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,6284579,46
1998,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),310235,47
1998,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,638821,48
1998,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),8594040,49
1998,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),0,50
1998,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
1998,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
1998,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
1998,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
1997,Other Taxes and Fees,New York Racing Association Franchise Fee,132000,41
1998,Other Taxes and Fees,Total State Taxes and Fees Collected by the Department of Taxation and Finance,33936324512,55
1997,Personal Income,Personal Income Tax,16370887332,1
1997,Corporation and Business,Business Corporations Article 9-A,2062043678,2
1997,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",37758824,3
1997,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",30958539,4
1997,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",81670023,5
1997,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",213744,6
1997,Corporation and Business,"Light, Water, Power, Article 9, Section 186",188269387,7
1997,Corporation and Business,"Utilities, Article 9, Section 186-a",311789944,8
1997,Corporation and Business,"Telecommunications, Article 9, Section 186-e",945505829,9
1997,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
1997,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",29308343,11
1997,Corporation and Business,"Unrelated Business Corporations, Article 13",4651335,12
1997,Corporation and Business,"Clearing House Banks, Article 32",0,13
1997,Corporation and Business,"Commercial Banks, Article 32",637448699,14
1997,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",2489192,15
1997,Corporation and Business,"Insurance Corporations, Article 33",615941506,16
1997,Corporation and Business,"Insurance, Direct Writings, Article 33-A",4726896,17
1997,Corporation and Business,"Lubricating Oils, Article 24",-8028,18
1997,Corporation and Business,"Oil Users, Article 9, Section 182-a",476456,19
1997,Corporation and Business,"Petroleum Businesses, Article 13-A",967360661,20
1997,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,7060391379,21
1997,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",49839388,22
1997,"Sales, Excise and Use","Motor Fuel, Article 12-A",421669083,23
1997,"Sales, Excise and Use",Petroleum Testing Fees,2692729,24
1997,"Sales, Excise and Use",Cigarette Tax,647955367,25
1997,"Sales, Excise and Use",Tobacco Products Tax,16241698,26
1997,"Sales, Excise and Use",Cigarette Retail License Fees,2698920,27
1997,"Sales, Excise and Use",Cigarette Vending Machine Stickers,167136,28
1997,"Sales, Excise and Use",Alcoholic Beverage Tax,193091731,29
1997,"Sales, Excise and Use",Non-Refillable Beverage Containers,25460376,30
1997,"Sales, Excise and Use",Highway Use Truck Mileage Tax,133054966,31
1997,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,6151522,32
1997,"Sales, Excise and Use",Highway Use Fuel Use Tax,18107703,33
1997,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,827854,34
1997,"Sales, Excise and Use",Passenger Car Rental Tax,31441900,35
1997,Property Transfer,Estate Tax,791558612,36
1997,Property Transfer,Real Estate Transfer Tax,194487907,38
1997,Property Transfer,Real Property Transfer Gains Tax,42354835,39
1997,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,20417526,40
1997,Other Taxes and Fees,Flat Racing Uncashed Tickets,1174233,42
1997,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,1075835,43
1997,Other Taxes and Fees,Harness Racing Uncashed Tickets,663875,44
1997,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,20123477,45
1997,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,5369523,46
1997,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),271992,47
1997,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,231588,48
1997,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),7997373,49
1997,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),0,50
1997,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
1997,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
1997,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
1997,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
1997,Other Taxes and Fees,Total State Taxes and Fees Collected by the Department of Taxation and Finance,32084907112,55
1996,Personal Income,Personal Income Tax,16998212766,1
1996,Corporation and Business,Business Corporations Article 9-A,1816620098,2
1996,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",4357158,3
1996,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",55181922,4
1996,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",131366585,5
1996,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",57132,6
1996,Corporation and Business,"Light, Water, Power, Article 9, Section 186",202732637,7
1996,Corporation and Business,"Utilities, Article 9, Section 186-a",981140799,8
1996,Corporation and Business,"Telecommunications, Article 9, Section 186-e",175168027,9
1996,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
1996,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",25372562,11
1996,Corporation and Business,"Unrelated Business Corporations, Article 13",3966018,12
1996,Corporation and Business,"Clearing House Banks, Article 32",0,13
1996,Corporation and Business,"Commercial Banks, Article 32",611513204,14
1996,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",23149869,15
1996,Corporation and Business,"Insurance Corporations, Article 33",666109187,16
1996,Corporation and Business,"Insurance, Direct Writings, Article 33-A",5310351,17
1996,Corporation and Business,"Lubricating Oils, Article 24",443079,18
1996,Corporation and Business,"Oil Users, Article 9, Section 182-a",333203,19
1996,Corporation and Business,"Petroleum Businesses, Article 13-A",1006962968,20
1996,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,6688967367,21
1996,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",60561933,22
1996,"Sales, Excise and Use","Motor Fuel, Article 12-A",440921198,23
1996,"Sales, Excise and Use",Petroleum Testing Fees,2891278,24
1996,"Sales, Excise and Use",Cigarette Tax,677347081,25
1996,"Sales, Excise and Use",Tobacco Products Tax,13221382,26
1996,"Sales, Excise and Use",Cigarette Retail License Fees,2725898,27
1996,"Sales, Excise and Use",Cigarette Vending Machine Stickers,190967,28
1996,"Sales, Excise and Use",Alcoholic Beverage Tax,197798084,29
1996,"Sales, Excise and Use",Non-Refillable Beverage Containers,45574041,30
1996,"Sales, Excise and Use",Highway Use Truck Mileage Tax,140305365,31
1996,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,3624024,32
1996,"Sales, Excise and Use",Highway Use Fuel Use Tax,26074451,33
1996,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,1864099,34
1996,"Sales, Excise and Use",Passenger Car Rental Tax,28859690,35
1996,Property Transfer,Estate Tax,678698495,36
1996,Property Transfer,Gift Tax,120627799,37
1996,Property Transfer,Real Estate Transfer Tax,181611530,38
1996,Property Transfer,Real Property Transfer Gains Tax,105909273,39
1996,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,23984922,40
1996,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
1996,Other Taxes and Fees,Flat Racing Uncashed Tickets,1219196,42
1996,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,1219508,43
1996,Other Taxes and Fees,Harness Racing Uncashed Tickets,725687,44
1996,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,19906339,45
1996,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,5520328,46
1996,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),309964,47
1996,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,181861,48
1996,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),7637189,49
1996,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),0,50
1996,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
1996,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
1996,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
1996,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
1996,Other Taxes and Fees,Total State Taxes and Fees Collected by the Department of Taxation and Finance,32186476512,55
1995,Personal Income,Personal Income Tax,17589489166,1
1995,Corporation and Business,Business Corporations Article 9-A,2006382915,2
1995,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",5355480,3
1995,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",46307434,4
1995,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",158219786,5
1995,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",231368,6
1995,Corporation and Business,"Light, Water, Power, Article 9, Section 186",217379810,7
1995,Corporation and Business,"Utilities, Article 9, Section 186-a",1130525853,8
1995,Corporation and Business,"Telecommunications, Article 9, Section 186-e",0,9
1995,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
1995,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",20745020,11
1995,Corporation and Business,"Unrelated Business Corporations, Article 13",5414846,12
1995,Corporation and Business,"Clearing House Banks, Article 32",0,13
1995,Corporation and Business,"Commercial Banks, Article 32",486101969,14
1995,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",61849711,15
1995,Corporation and Business,"Insurance Corporations, Article 33",495938679,16
1995,Corporation and Business,"Insurance, Direct Writings, Article 33-A",6625757,17
1995,Corporation and Business,"Lubricating Oils, Article 24",8770441,18
1995,Corporation and Business,"Oil Users, Article 9, Section 182-a",-125047,19
1995,Corporation and Business,"Petroleum Businesses, Article 13-A",1039453550,20
1995,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,6578632778,21
1995,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",59548947,22
1995,"Sales, Excise and Use","Motor Fuel, Article 12-A",425413021,23
1995,"Sales, Excise and Use",Petroleum Testing Fees,2783932,24
1995,"Sales, Excise and Use",Cigarette Tax,712171454,25
1995,"Sales, Excise and Use",Tobacco Products Tax,11621309,26
1995,"Sales, Excise and Use",Cigarette Retail License Fees,2547929,27
1995,"Sales, Excise and Use",Cigarette Vending Machine Stickers,203101,28
1995,"Sales, Excise and Use",Alcoholic Beverage Tax,209043566,29
1995,"Sales, Excise and Use",Non-Refillable Beverage Containers,51130467,30
1995,"Sales, Excise and Use",Highway Use Truck Mileage Tax,153059612,31
1995,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,4166117,32
1995,"Sales, Excise and Use",Highway Use Fuel Use Tax,31934830,33
1995,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,39363464,34
1995,"Sales, Excise and Use",Passenger Car Rental Tax,28899214,35
1995,Property Transfer,Estate Tax,695594570,36
1995,Property Transfer,Gift Tax,63781953,37
1995,Property Transfer,Real Estate Transfer Tax,187412271,38
1995,Property Transfer,Real Property Transfer Gains Tax,103568059,39
1995,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,34306005,40
1995,Other Taxes and Fees,New York Racing Association Franchise Fee,32475,41
1995,Other Taxes and Fees,Flat Racing Uncashed Tickets,1142172,42
1995,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,2817028,43
1995,Other Taxes and Fees,Harness Racing Uncashed Tickets,1143968,44
1995,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,20189823,45
1995,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,4741266,46
1995,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),357259,47
1995,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,276873,48
1995,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),5713767,49
1995,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),0,50
